channelId,title,description,publishedAt,viewCount,subscriberCount,videoCount,topicCategories,country,period_views,period_comments,period_video_count,most_common_video_category,most_common_video_category_name,subs_processed,commenter_count,sub_count
UC-5h-SLwhnOOfIo9rmKETvg,nešvankiai,"Patruliai Nešvankuliai: Nedas Kybartas & Deividas Rumbutis
",2023-01-16T09:33:24.851143Z,2152835,33800,36,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Film']",LT,738074,1003,16,23,Komedijos,True,748,9486
UC-AGx7rM_mBqesECSVp-x8w,Skirmantas Malinauskas,Padėkite man kurti šį kanalą. Ačiū!,2013-11-01T20:51:25Z,28511818,181000,201,"['https://en.wikipedia.org/wiki/Society', 'https://en.wikipedia.org/wiki/Politics']",LT,5102322,27852,30,22,Žmonės ir tinklaraščiai,True,9219,29769
UC-FiCX5iSeFIcsCHKbyUEkw,Svarbeuse Dariti,"CREATIVE GAMING ir ne tik KANALAS.

GTA, WARZONE, CS:GO ir daug dar visko. 
",2020-01-31T21:26:10.211912Z,21105917,68100,534,"['https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Action-adventure_game', 'https://en.wikipedia.org/wiki/Video_game_culture']",LT,923185,1206,53,20,Žaidimai,True,742,10541
UC-GHVQuPDutZj6P6KSdLbVA,KONTRA,Mes esam KONTRA,2021-03-25T00:08:48.767834Z,3765548,21600,331,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",LT,233855,647,22,24,Pramogos,True,374,6660
UC03F7VecXoT8LpXh6nFwhZw,Eastern European,"Sveiki atvykę į Easterno kanalą :)
www.easterneuropean.lt
For business inquiries contact: easterneuropean1@gmail.com
Dėl reklamos susisiekite: easterneuropean1@gmail.com",2014-08-30T09:23:39Z,30260727,119000,560,"['https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture']",LT,688518,1626,27,24,Pramogos,True,978,14431
UC0DS5iTuwjrzDXnjvo1dKyA,LaLand Music,"Record label / music blog founded in October 2019, Lithuania

Inquiries, bookings – lalandmuzika@gmail.com

If you love LALA, this is your land!",2019-10-19T22:55:23.361666Z,32282967,19600,33,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music', 'https://en.wikipedia.org/wiki/Electronic_music']",LT,3392406,429,3,10,Muzika,True,317,1991
UC0Ikrjpalg3uP1FOpbt96nA,TheDavisD,"Music producer from Lithuania
Singer/Rapper

Mostly emotional music works",2015-11-12T17:05:15Z,8428506,24600,56,"['https://en.wikipedia.org/wiki/Pop_music', 'https://en.wikipedia.org/wiki/Electronic_music', 'https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",LT,344256,278,13,10,Muzika,True,163,1373
UC0jgtGY99WwWWixOhX4Vglw,"O, Dangau!","Sporto ir pramoginio turinio kanalas. Daugiau https://osportas.lt/

",2014-03-02T14:34:20Z,19399147,34500,2024,"['https://en.wikipedia.org/wiki/Basketball', 'https://en.wikipedia.org/wiki/Sport', 'https://en.wikipedia.org/wiki/Association_football']",LT,2880675,6028,204,17,Sportas,True,1811,8850
UC0kDZuHsOjuYLm8DeFNpB_Q,Tonis & Miledi,"Oficialus dainų autoriaus ir atlikėjo Antonijaus Žilinsko - Tonio (ex grupė ""Miledi"") ""YouTube"" kanalas.

Hi, I'm Lithuanian singer and songwriter Antonijus Žilinskas - Tonis (ex band ""Miledi""). This is my official channel of author's music & lyrics. All audio content in this channel is created and copyrighted by me. And I have all commercial-use rights and permissions to the video background content. Subscribe to stay up to date on new visual & music releases!",2015-09-15T20:58:16Z,70877595,66300,123,"['https://en.wikipedia.org/wiki/Pop_music', 'https://en.wikipedia.org/wiki/Music']",LT,597274,187,6,10,Muzika,True,125,2536
UC18wxTZHiS7W6lIDTU6A0tQ,Artur Lebedenko Swan,"Kanalas, kuriame kartu su Artur Lebedenko-Swan pasirenk į gilius ir prasmingus pokalbius su savo srities profesionalais ir žinomais žmonėmis. Pokalbiai apie esmę, be skandalų, paskalų ir intrigų. Laidose kiekvienas pašnekovas pasineria į tai, kas yra jo viduje. Kiekvienas iš mūsų esame praėję ilgą ar trumpą gyvenimo mokyklą, tad laidų ir viso video turinio tikslas tas žinias, klaidas ir laimėjimus perduoti žiurovams. 

#ArturLebedenkoSwan #TapkGeresniu #MotyvuotiAtletai

🚀 NARYSTĖ - IŠANKSTINĖS NEKARPYTŲ, BE REKLAMOS LAIDŲ PERŽIŪROS:
👉 https://www.youtube.com/channel/UC18wxTZHiS7W6lIDTU6A0tQ/join

🎙️ Studijos nuoma ir video montavimo paslaugos:
👉 https://recordinvilnius.lt/

🎶 MUS RASI:
👉 Youtube - https://www.youtube.com/@motyvuotiatletai?sub_confirmation=1
👉 Spotify - https://open.spotify.com/show/0A0cb8mINW6EB3N8QCdAci
👉 TikTok - https://www.tiktok.com/@motyvuotiatletai
👉 Instagram - https://www.instagram.com/motyvuotiatletai
👉 Facebook - https://www.facebook.com/motyvuotiatletai

",2015-01-19T09:38:22Z,5295213,102000,465,"['https://en.wikipedia.org/wiki/Health', 'https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",LT,3648228,10332,113,22,Žmonės ir tinklaraščiai,True,4134,13009
