title,nešvankiai,Skirmantas Malinauskas,Svarbeuse Dariti,KONTRA,Eastern European,LaLand Music,"O, Dangau!",Artur Lebedenko Swan,deMiko,BaltaLietuviS,Enoxas,Fuxeris,On1Beat,Įdomioji Dokumentika,Žaidimų Balsas,Lietuvos nacionalinis radijas ir televizija,15min,Husarai Official,Komentaras TV,InfamousJJ,PildykLT,Ilja Laurs,Ignas Lelys,Pralaužk Vieną Šaltą,Šventinis bankuchenas,Šeškės,A Team Comedy,Martial Arts Journey with Rokas,Camiworld,OpenPlay,Stanislavas Stavickis (Stano),Viktorija Rupeikytė - Victoria,Alfa TV,Furytto,Simonas Dailidė,Augustas Šuliauskas,OpTV,Bičiuliai,PROTO INDUSTRIJA,UBR Team,LTU Republic 2,Mantas Stonkus,Vikkyxo,GJan,Betsafe-LKL TV,Krebždesys,Darius Žaidžia,Edvisss,Rokas Yan,Pagal Jurgį,Autoplius.lt,Važiuojam AUTO,Negyvas Eteris,LaisvėsTV X,LTU Republic,Vu Records,Eltis LT,Diana ir draugai,Aleksandr Lukjanov,Omantas,Martynas Kavaliauskas,Paulius Samoška,cestovas,Donny Montell,Saulius Prūsaitis oficialus kanalas,SelMusic,Hypocrite,Lrytas.lt,2Kvėpavimas,Andrius Talzunas,Martas Tankevičius,Kiemo draugai,Redakcija,TV3 Televizija,KITOKS PASAULIS,Noeliukas,WhyDotas,LaisvėsTV,NISLT,JK Sax - Juozas Kuraitis Saxophonist,cheska,Man Kablys,A Friend,dima_wallhacks,Žinių radijas,Munis,Vestro,Delfi Video,IŠ NAUJO,Dividendų Eksperimentas,Emilis Jokūbas,HIPARIKAI,Evgenya Redko,MrBegėdis,prefis,Rolandas,DamagePlanas,Šerifas,Mantas Bartuševičius,Svarbeuse Lankiti,Easternas,KARALIAI Official,LNK Televizija,Benediktas Vanagas,EnoxsPC,Zalgiris Kaunas,stasas777,AntanasJ,Kūrybinis Potencialas,Sisters On Wire,Judzikas,Lithuania Explained,TIKRA RIDA,Bernužėliai,Aurimas Valujavičius,BasketNews․LT,#Mantaz,Jovani,Delfi,DeividasBen,Vaidas Baumila,Aurimas Mockus,Tomuxas,NeRedaguota,Radvis,Natalija Bunke,Jazzu,Kitokie pasikalbėjimai,Vital CSGO,Radijo stotis M-1,0029lt,televizijos bokštas,Dainius Sinkevičius,norbefilms,Ertyez,Gazas Dugnas TV,"Sergej ""KUVALDA"" Maslobojev",GURIS
nešvankiai,1.0,0.2138975155279503,0.34700564971751413,0.4175347222222222,0.32233041756065356,0.30018529956763434,0.23960446247464504,0.23589559601758006,0.2898464112830933,0.39118942731277534,0.21658872754122568,0.34260429835651074,0.37298387096774194,0.2920188824239763,0.3132739266288624,0.17457533234859676,0.1903169720476127,0.2391891891891892,0.045462844622968776,0.15053763440860216,0.22477429633563462,0.16301315265045835,0.40838011226944665,0.3419339472848523,0.2721100917431193,0.2977594339622642,0.40750115048320296,0.034840622683469234,0.3064236111111111,0.3155594405594406,0.22808870116156282,0.19230769230769232,0.11498257839721254,0.3940482298614674,0.37096029547553094,0.26813642359148293,0.06487187804086929,0.23366834170854273,0.22382471224518097,0.2956355527237974,0.3711504073117425,0.34810389179321216,0.2225705329153605,0.25898629428497544,0.24945295404814005,0.3135354798374492,0.2711754537597234,0.19200978393803506,0.31813676907829536,0.29214687751273116,0.2816711590296496,0.22795823665893272,0.27020643393641647,0.314174378957623,0.33540679304897314,0.20993494973388527,0.22388059701492538,0.0761904761904762,0.16452074391988555,0.4175550817341862,0.14054726368159204,0.2508208017510437,0.3800867831593761,0.23566496547583307,0.24616751832926018,0.25833333333333336,0.4356005788712012,0.18378995433789955,0.3222918531781558,0.3217877094972067,0.35532066266897044,0.422323635672181,0.23715562174236784,0.1960645275660344,0.14102032351721278,0.32471026490066224,0.25320631625769147,0.2190965092402464,0.07452574525745258,0.11045655375552282,0.3723076923076923,0.2269034005416792,0.14357501794687724,0.2634508348794063,0.1742232793221347,0.3436927306047648,0.46348833305355047,0.18951418951418952,0.20950323974082075,0.16410748560460653,0.36743133583021226,0.4002989536621824,0.29567821994009413,0.27260918980353954,0.3252532561505065,0.30897736143637783,0.3409322206391207,0.3734577189286789,0.299623706491063,0.4064655172413793,0.3648595172140878,0.21905805038335158,0.3571910871033086,0.25764669163545567,0.20527859237536658,0.2745151227451512,0.084,0.3504986769794423,0.29882291734408534,0.2599852071005917,0.2830578512396694,0.2570257611241218,0.3091014269186271,0.23243933588761176,0.2559652928416486,0.2538415485930952,0.24686595949855353,0.26359424530602293,0.22208901543533643,0.37641762617955155,0.2607889859676992,0.28425241614553726,0.351123595505618,0.12313240597630087,0.4318952981095492,0.2248421052631579,0.23130738959335373,0.28073071420710904,0.2540415704387991,0.21661000485672657,0.3153660498793242,0.32597822889085026,0.2938654353562005,0.28633164588220766,0.48578811369509045,0.2868918918918919,0.3066502463054187,0.2247229326513214
Skirmantas Malinauskas,0.6676360111474615,1.0,0.4455367231638418,0.7144097222222222,0.49579138471695,0.5392217418159357,0.699290060851927,0.6097407839268095,0.6862487300543836,0.5691629955947136,0.1543194683731233,0.25410872313527183,0.5443548387096774,0.6005049950598309,0.5996991088994329,0.6057976366322009,0.6970710177878828,0.4,0.3291948146795691,0.0967741935483871,0.2340679766330324,0.7233957752092467,0.48556535685645547,0.7540489044140997,0.6840366972477064,0.5265330188679245,0.7005292222733548,0.18977020014825796,0.6905381944444444,0.5696386946386947,0.48416050686378037,0.5005197505197505,0.6759581881533101,0.46998460749102106,0.543859649122807,0.6975692481628039,0.4098280895231917,0.31155778894472363,0.7582859520177506,0.5669533821811618,0.37333598251539835,0.667496473321716,0.46865203761755486,0.5730540470649081,0.6092876246049113,0.551734917161613,0.2824114088159032,0.19486343253159397,0.5163528245787908,0.7526132404181185,0.6627358490566038,0.6026682134570766,0.6330010864944022,0.6520075151346462,0.42841627172195895,0.39976345357776466,0.6967164179104478,0.08435374149659863,0.6118264186933715,0.5720208481402511,0.48009950248756217,0.5429451582830044,0.41245455611586723,0.5415791053737616,0.5101088646967341,0.56328125,0.4573082489146165,0.5938356164383561,0.5094001790510295,0.31689944134078213,0.44059355625571706,0.7161057235215821,0.8652271034996277,0.6060982095373161,0.4097884695147242,0.7965645695364238,0.5354733486544592,0.7442505133470226,0.11517615176151762,0.4565537555228277,0.290989010989011,0.514595245260307,0.36252692031586503,0.23747680890538034,0.7606659729448492,0.625,0.64915225784791,0.7051467051467052,0.7383909287257019,0.6473128598848369,0.625858302122347,0.7003487792725461,0.6375695335900727,0.2125345023542783,0.26085383502170767,0.5739266198282592,0.4378180337879096,0.23171832681312068,0.6138287864534336,0.41745689655172413,0.3971111990502572,0.3515881708652793,0.5982444294395679,0.684769038701623,0.12756598240469208,0.5978570459785705,0.444,0.3976185629961327,0.69779540872732,0.6590236686390533,0.15950413223140497,0.6492974238875878,0.607211723871963,0.36845466155810985,0.5847248146092923,0.6582518459389344,0.09691417550626807,0.5598634479395269,0.6308257155702083,0.598303177214094,0.5443473656341011,0.7191586128482093,0.2448501872659176,0.6938004465052379,0.5239941832283083,0.45010526315789473,0.5675557498906865,0.6578078573786729,0.3856812933025404,0.5172413793103449,0.3242156074014481,0.7911150338334805,0.758080474934037,0.5432152117545376,0.4754521963824289,0.6424324324324324,0.7244458128078818,0.6192668371696505
Svarbeuse Dariti,0.37210711256512785,0.1530667701863354,1.0,0.3564236111111111,0.4151675193926391,0.24088943792464484,0.19066937119675456,0.22199300385684814,0.23355046913285124,0.44434654919236416,0.47181885306423826,0.7737041719342604,0.375,0.27566143374684376,0.39544034255294525,0.12813884785819793,0.14257054968570282,0.2581081081081081,0.04747124338141318,0.25806451612903225,0.36125862984599044,0.09127142287764049,0.4029671210906175,0.2435693871070181,0.18073394495412845,0.2511792452830189,0.3053382420616659,0.06671608598962195,0.24479166666666666,0.26223776223776224,0.2697993664202746,0.16891891891891891,0.11759581881533102,0.42226782965623394,0.43536472760849493,0.19069153947616355,0.055465455724943234,0.19597989949748743,0.11690472888642352,0.3570139110119996,0.6332207430955692,0.28470666334744005,0.12539184952978055,0.24709076803723817,0.2200340384147824,0.40387621131603624,0.526361279170268,0.3840195678760701,0.26362735381565905,0.2270168855534709,0.27661725067385445,0.2604408352668213,0.2369030185648826,0.2756245216060121,0.5273499210110585,0.270254287403903,0.15402985074626865,0.14081632653061224,0.13829279923700524,0.4596067282634447,0.12437810945273632,0.2580762838960723,0.4637035299636449,0.20054037826478535,0.22594978893579204,0.20911458333333333,0.40955137481910275,0.1319634703196347,0.36078782452999103,0.4324022346368715,0.42931192194328693,0.29568359003612854,0.116530156366344,0.16858712994149974,0.13355454168394856,0.28249172185430466,0.2791163169990363,0.15102669404517455,0.1002710027100271,0.16053019145802652,0.5727472527472528,0.3361420403250075,0.14213926776740848,0.4007421150278293,0.11342351716961499,0.30978924862553453,0.3716635890548934,0.10774410774410774,0.08639308855291576,0.09788867562380038,0.33754681647940077,0.28589935226706525,0.2160890029952931,0.5268712453320344,0.6772793053545586,0.36783762685402027,0.5882352941176471,0.714715618417093,0.25760426465976793,0.6982758620689655,0.647210130589632,0.20481927710843373,0.24172856178257934,0.2532771535580524,0.4731182795698925,0.2514580225145802,0.128,0.4066761652757989,0.22442609091500293,0.1863905325443787,0.46239669421487606,0.19730679156908665,0.34188198997300423,0.29182630906768836,0.252434041265197,0.20045899022151267,0.5573770491803278,0.2453060229212387,0.1719616364453769,0.3301878625227253,0.23298914482393435,0.23251847640704945,0.5746722846441947,0.07006697578567748,0.4745516238487639,0.2025263157894737,0.16921731526016615,0.24215912842522286,0.23787528868360278,0.26809130645944634,0.6806114239742558,0.1600470726684319,0.21470976253298152,0.34849981479194964,0.6718346253229974,0.2987837837837838,0.2729371921182266,0.27382779198635976
KONTRA,0.29140918453895553,0.15974378881987578,0.2319774011299435,1.0,0.2337019310117181,0.2804200123533045,0.18280933062880325,0.20208090411696117,0.17611904619613936,0.29515418502202645,0.11321683485109525,0.21080910240202275,0.28024193548387094,0.24602041936546273,0.22404814257609074,0.15288035450516987,0.18269359368730775,0.17432432432432432,0.0991418659850283,0.0,0.13157195963887414,0.223595057791949,0.25561347233360066,0.25230231819625276,0.19779816513761467,0.26120283018867924,0.30027611596870685,0.09414381022979985,0.24305555555555555,0.2089160839160839,0.21700105596620908,0.20322245322245322,0.16898954703832753,0.32221652129297074,0.2453831948291782,0.1590352364801206,0.11433668504703211,0.10552763819095477,0.19581195395922896,0.24254008707656366,0.1996820981521955,0.22496058418388515,0.23510971786833856,0.16731316265839152,0.18891320204230488,0.23491716161300408,0.15643906655142611,0.10667210218779725,0.18037661050545095,0.28946663093004554,0.24663072776280323,0.22505800464037123,0.18768009825688506,0.184051214250922,0.195695102685624,0.18450620934358367,0.18208955223880596,0.036734693877551024,0.1759656652360515,0.2923477848850983,0.15796019900497513,0.1613635442422277,0.21918611469449983,0.1795256679675773,0.2099533437013997,0.23229166666666667,0.31982633863965265,0.17214611872146118,0.26708445240226797,0.16983240223463686,0.20825287122675068,0.2508081384293592,0.17889054355919584,0.18773267151214323,0.19618415595188718,0.2808360927152318,0.16661724368003558,0.1523100616016427,0.06775067750677506,0.1325478645066274,0.19428571428571428,0.19500451399337948,0.104091888011486,0.13358070500927643,0.18061543035528468,0.2089951130116066,0.33338928991102906,0.17412217412217412,0.2111231101511879,0.16986564299424184,0.2664637952559301,0.2987543597409068,0.21138211382113822,0.14693943822049033,0.18596237337192476,0.2312256049960968,0.24343578261754528,0.20252783629250676,0.18265914079648793,0.2170258620689655,0.24673525920063316,0.12595837897042717,0.2673869007427414,0.19350811485642946,0.09530791788856305,0.17523396175233963,0.052,0.21127620598412375,0.20394095077063146,0.17381656804733728,0.10495867768595041,0.20140515222482436,0.23794832240647898,0.18518518518518517,0.17121525500681026,0.17561364997006584,0.09450337512054002,0.2008046817849305,0.18784654578150756,0.21340143710501255,0.20624834524755098,0.22711768050028425,0.17088014981273408,0.15026618581487206,0.28162869607367913,0.19410526315789473,0.18714473108876256,0.205183228788379,0.09006928406466513,0.15638659543467703,0.3684633950120676,0.3406884377758164,0.35141820580474936,0.20027163847388565,0.30749354005167956,0.23067567567567568,0.3180418719211823,0.2208013640238704
Eastern European,0.4732824427480916,0.23322981366459627,0.5684745762711865,0.49166666666666664,1.0,0.37986411365040146,0.3036257606490872,0.31043142882769753,0.3631148030837268,0.6234948604992658,0.5035687915333498,0.6867888748419722,0.5396505376344086,0.40992425074102534,0.49693322532114337,0.22110413589364844,0.22509027684900362,0.35135135135135137,0.10188059156472522,0.3333333333333333,0.41250663834306955,0.1578318055001993,0.4486768243785084,0.33963162908859956,0.3201834862385321,0.37028301886792453,0.38184537505752414,0.11934766493699037,0.3381076388888889,0.32167832167832167,0.40971488912354803,0.2983367983367983,0.20644599303135888,0.5802975885069266,0.4626038781163435,0.2956472583380441,0.10720077846253649,0.2537688442211055,0.19830814034114547,0.44154189232239566,0.6310351678919134,0.347025143141648,0.2304075235109718,0.3505301267132144,0.34816435691709213,0.502500781494217,0.5965859982713916,0.4167685826878652,0.3002973240832507,0.29965156794425085,0.4295822102425876,0.35440835266821347,0.3108791156880344,0.3896736483195324,0.5948854660347551,0.33767001774098165,0.26029850746268657,0.16394557823129252,0.20934668574153553,0.5424070125562663,0.23507462686567165,0.31725507681083054,0.49044212501465934,0.2836985890123086,0.343701399688958,0.3143229166666667,0.49855282199710566,0.25753424657534246,0.4440465532676813,0.48966480446927374,0.5034048175627605,0.36965202509982886,0.20755770662695458,0.26147846126573304,0.24720033181252593,0.42177152317880795,0.3701534583734895,0.24117043121149898,0.1910569105691057,0.20029455081001474,0.5736263736263736,0.3662353295215167,0.3137114142139268,0.4619666048237477,0.19964322877954513,0.41516493585827735,0.5524592915897264,0.18374218374218373,0.15766738660907129,0.20825335892514396,0.45685081148564294,0.37120079720976584,0.2913992297817715,0.5687611625263842,0.691027496382055,0.4212334113973458,0.6657846529615307,0.6816130003009329,0.3630709731368245,0.5379310344827586,0.8149980213692125,0.2267250821467689,0.34301147873058746,0.34425717852684146,0.5004887585532747,0.3423301234233012,0.156,0.49185833502951354,0.36626129934317486,0.27625739644970415,0.49173553719008267,0.344847775175644,0.4049363671423062,0.36973180076628354,0.31185996065176813,0.2891638395529834,0.5443587270973963,0.32565227993172396,0.24763974224486737,0.3836031512423167,0.31877151178183744,0.2953382603752132,0.5805243445692884,0.15146831530139104,0.5807077072224915,0.296,0.26672496720594663,0.322933861560471,0.36027713625866054,0.40796503156872266,0.7272727272727273,0.3312739040894381,0.3258575197889182,0.44159772811458203,0.710594315245478,0.4155405405405405,0.3834667487684729,0.3660699062233589
LaLand Music,0.05888767720828789,0.03388975155279503,0.04406779661016949,0.07881944444444444,0.05075094900148539,1.0,0.037652129817444216,0.050497802493497175,0.03723181736687982,0.08252569750367107,0.03568791533349742,0.0461441213653603,0.08602150537634409,0.06795477000768471,0.04605948385603518,0.05963810930576071,0.05282867460211315,0.3675675675675676,0.039072484937009315,0.016129032258064516,0.05350504514073287,0.03547229972100439,0.09222133119486768,0.044855509685614484,0.04532110091743119,0.22818396226415094,0.05073630924988495,0.0037064492216456633,0.0998263888888889,0.14772727272727273,0.2412882787750792,0.25571725571725573,0.07665505226480836,0.06413545407901487,0.06602031394275161,0.033917467495760314,0.03989620499513461,0.3316582914572864,0.04354458466232145,0.05256451099076139,0.043910192727995234,0.04696705667579454,0.10188087774294671,0.07964830618050169,0.03355215171407731,0.045170365739293526,0.03889369057908384,0.03519499932055986,0.18731417244796827,0.050388635754489416,0.060309973045822106,0.0765661252900232,0.03750767631914592,0.03987196437269501,0.04255529225908373,0.23240685984624482,0.08238805970149254,0.03197278911564626,0.031473533619456366,0.05555555555555555,0.22263681592039802,0.03307527056057719,0.053594464641726285,0.12939057340138096,0.12574983337036214,0.096875,0.32706222865412443,0.07054794520547945,0.174276335422262,0.056424581005586595,0.0516312633397703,0.033846738923749765,0.03406552494415488,0.07144123382379011,0.043135628369970966,0.0591887417218543,0.03662243309363185,0.03726899383983573,0.01084010840108401,0.042709867452135494,0.056043956043956046,0.048149262714414685,0.021536252692031587,0.014842300556586271,0.043258510480154604,0.03825595601710446,0.060433103911364784,0.11495911495911496,0.03968682505399568,0.052783109404990404,0.04962546816479401,0.04623816641753861,0.12965340179717585,0.04010391297288521,0.06222865412445731,0.053239656518345044,0.06004477915733768,0.04544086668672886,0.03909271453956308,0.052586206896551725,0.052829442026117925,0.2661555312157722,0.11141120864280891,0.038233458177278405,0.02541544477028348,0.042045300420453006,0.208,0.07123956849175657,0.035897769395850945,0.125,0.04297520661157025,0.036885245901639344,0.05572695719244119,0.20306513409961685,0.03500983705796297,0.029135901017760927,0.029893924783027964,0.08485735186539868,0.05012737898995954,0.04571032811012034,0.11384696849351338,0.03439454235361,0.05454119850187266,0.020951399622187877,0.08337372758119244,0.16673684210526316,0.14123305640577175,0.04192802905249257,0.006928406466512702,0.09519184069936863,0.039420756234915526,0.04471903501029715,0.06282981530343008,0.03883195456229164,0.12661498708010335,0.049189189189189186,0.046798029556650245,0.05012787723785166
"O, Dangau!",0.22900763358778625,0.2141304347826087,0.16994350282485876,0.2503472222222222,0.1976398745667602,0.18344657195799877,1.0,0.1952641492510539,0.22530329289428075,0.20734214390602057,0.0662072360324883,0.11093552465233882,0.18077956989247312,0.21967285102645734,0.2559888901747483,0.22590472673559822,0.43306138825732243,0.17297297297297298,0.10096768303815958,0.010752688172043012,0.09798194370685077,0.2534874451972898,0.19426623897353648,0.3000158780565259,0.2508256880733945,0.2446933962264151,0.2774965485503912,0.06375092661230541,0.17491319444444445,0.2202797202797203,0.22228088701161564,0.1793139293139293,0.2682926829268293,0.21498204207285787,0.20475530932594643,0.640663274919917,0.12682452156989946,0.13316582914572864,0.2754125641381223,0.18052458320059467,0.16709715875223524,0.23690980001659614,0.13949843260188088,0.20571502456684768,0.6041818623875517,0.17583619881212878,0.11840968020743302,0.07324364723467862,0.17839444995044598,0.3162690967569016,0.22338274932614555,0.21867749419953597,0.22528225235013463,0.22107021084127756,0.16933254344391785,0.17563571850975754,0.17850746268656717,0.029931972789115645,0.2145922746781116,0.22767116796967543,0.1865671641791045,0.17449637225892747,0.1632461592588249,0.19213449414590214,0.22750499888913575,0.20559895833333333,0.1512301013024602,0.21095890410958903,0.18173679498657117,0.12988826815642457,0.15286106311617034,0.28579577866514544,0.2842516753536858,0.26591029959227086,0.13272501036914144,0.2849751655629139,0.17417896063459115,0.24902464065708418,0.036585365853658534,0.13843888070692195,0.12879120879120878,0.2091483599157388,0.12419239052404882,0.08719851576994433,0.30607997621525196,0.22189981673793524,0.22729561859996641,0.27224627224627224,0.20248380129589633,0.19625719769673705,0.2091136079900125,0.2849028400597907,0.2032520325203252,0.08946257509335931,0.13314037626628075,0.1726775956284153,0.19173621005495625,0.09659945832079446,0.21286714748615032,0.16637931034482759,0.1555203798971112,0.1456736035049288,0.2288993923024983,0.33302122347066165,0.03176930596285435,0.5210904652109046,0.172,0.15133319763891717,0.22514144501528258,0.22300295857988164,0.07314049586776859,0.20081967213114754,0.1801002699575781,0.15070242656449553,0.2105634868586995,0.5652564358411495,0.04532304725168756,0.21116800780297487,0.222838303611569,0.18578478053848152,0.22954725972994441,0.27231381466742466,0.09316479400749064,0.2642967542503864,0.1619001454192923,0.12294736842105262,0.1670310450371666,0.25052272477165183,0.20323325635103925,0.2141816415735794,0.11504424778761062,0.186525448661371,0.2546174142480211,0.17996048894925298,0.19638242894056848,0.22027027027027027,0.2963362068965517,0.18175618073316283
Artur Lebedenko Swan,0.318671998061311,0.2638975155279503,0.2796610169491525,0.39114583333333336,0.28560818616933487,0.3477455219271155,0.2759888438133874,1.0,0.2755632582322357,0.34302496328928045,0.24415456559192714,0.3242730720606827,0.29301075268817206,0.30672960807992095,0.287698183080662,0.301698670605613,0.32299050421291964,0.327027027027027,0.23626072667518713,0.15591397849462366,0.2760223048327137,0.4639298525308888,0.38813151563753007,0.3109717370593839,0.24807339449541285,0.3767688679245283,0.3213299585826047,0.08673091178650852,0.3624131944444444,0.32371794871794873,0.3796198521647307,0.33523908523908524,0.3632404181184669,0.3011800923550539,0.4051246537396122,0.2602223478424722,0.25008108984755106,0.26884422110552764,0.38260990153931496,0.2733354571519592,0.2602821378899265,0.3250352667828396,0.6536050156739812,0.2751486940780967,0.2735229759299781,0.2861831822444514,0.3070440795159896,0.224351134665036,0.3572844400396432,0.44974537657464486,0.3419811320754717,0.35266821345707655,0.28995228872407763,0.29997912462598286,0.27744865718799366,0.29272619751626255,0.2967164179104478,0.10068027210884353,0.3714830710538865,0.33487325278370056,0.32587064676616917,0.23817437477199951,0.3345842617567726,0.36835785049534675,0.34658964674516773,0.31302083333333336,0.39652677279305354,0.38082191780821917,0.3258728737690242,0.32583798882681564,0.2951519463360098,0.2837041262597452,0.2952345495160089,0.3837971990781776,0.294068851099129,0.32822847682119205,0.22811179479575952,0.26514373716632444,0.09349593495934959,0.25773195876288657,0.31934065934065936,0.2566957568462233,0.13854989231873654,0.14842300556586271,0.3439869183885833,0.27107513744654854,0.3207990599294947,0.3838383838383838,0.5980021598272138,0.36084452975047987,0.29408551810237205,0.31350274040857,0.4065040650406504,0.2679006332196785,0.3223589001447178,0.2574551131928181,0.3032770201506208,0.3108636773999398,0.2705132225358001,0.25862068965517243,0.26830233478432924,0.24315443592552027,0.32680621201890614,0.28636079900124844,0.21456500488758554,0.2688186626881866,0.24,0.3393038876450234,0.27411068478897055,0.34208579881656803,0.18801652892561985,0.25936768149882905,0.24932510605476282,0.3065134099616858,0.28451798415981433,0.24166832967471563,0.24927675988428158,0.3145574250182882,0.3389030421099955,0.2996277378581941,0.35292560232989145,0.30642410460488917,0.261001872659176,0.30963420917053064,0.2467280659234125,0.3128421052631579,0.38522081329252295,0.30972818311874106,0.14087759815242495,0.28654686741136476,0.4094931617055511,0.3174463077375699,0.32255936675461744,0.24669712310161748,0.4160206718346253,0.2935135135135135,0.37346059113300495,0.26547314578005116
deMiko,0.5876650914818854,0.44576863354037266,0.4415819209039548,0.5116319444444445,0.5014028717610167,0.38480543545398394,0.47794117647058826,0.41357969324603105,1.0,0.5809104258443466,0.3007629830174748,0.39570164348925413,0.5268817204301075,0.4285871116478208,0.5705358176137021,0.3613367799113737,0.37060318309482415,0.3108108108108108,0.10498448055504839,0.3387096774193548,0.3117365905469995,0.3830211239537664,0.43865276663993585,0.6090028580501746,0.6071559633027523,0.41627358490566035,0.5730556833870225,0.17346182357301704,0.5186631944444444,0.44522144522144524,0.3833157338965153,0.3102910602910603,0.3144599303135889,0.5156490507952797,0.4517543859649123,0.46542302619182213,0.1446642880311385,0.23366834170854273,0.4656774372486479,0.42986088988000426,0.5306973971786211,0.540453074433657,0.36363636363636365,0.4674166020170675,0.4512521274009239,0.48530790872147545,0.4353932584269663,0.2664764234270961,0.4197224975222993,0.4735995711605468,0.46799191374663074,0.33178654292343385,0.49274883083754545,0.6547908983369285,0.5322867298578199,0.3086930810171496,0.39761194029850744,0.09523809523809523,0.3457319980925131,0.550817341862118,0.31592039800995025,0.4014024563252402,0.4533833704702709,0.4235965175622936,0.3976894023550322,0.37109375,0.455137481910275,0.315296803652968,0.4449418084153984,0.3963687150837989,0.4503506453907917,0.6240730176839704,0.5551005212211467,0.33930154227973763,0.2625466611364579,0.6014072847682119,0.44695677959819113,0.518788501026694,0.15447154471544716,0.25184094256259204,0.43868131868131865,0.3581101414384592,0.3295046661880833,0.3525046382189239,0.46514047866805414,0.5454337202199144,0.6212858821554473,0.3270803270803271,0.4217062634989201,0.3474088291746641,0.5408083645443196,0.5511709018435476,0.5062045357295678,0.366942685500893,0.46924746743849494,0.39000780640124905,0.5125178098921229,0.386999699067108,0.5478206334274067,0.4219827586206897,0.4390581717451524,0.21796276013143484,0.4442943956785955,0.5026529338327091,0.2781036168132942,0.44974908449749085,0.128,0.4224506411561164,0.5943291929505105,0.46967455621301774,0.31528925619834713,0.45784543325526933,0.3816043193212495,0.2681992337164751,0.411996166069717,0.46836958690880065,0.2917068466730955,0.4144111192392099,0.3869324142065038,0.5254956280841485,0.42414614773629866,0.4397384877771461,0.36493445692883897,0.33402026446848704,0.4973339796412991,0.2951578947368421,0.45736773065150854,0.5143061516452074,0.44110854503464203,0.43176299174356486,0.48028962188254226,0.48455428067078554,0.4394788918205805,0.4509198666502037,0.6253229974160207,0.47581081081081084,0.5055418719211823,0.4272804774083546
BaltaLietuviS,0.1613958560523446,0.07523291925465839,0.17096045197740112,0.17447916666666666,0.17519392639049347,0.17356392835083384,0.08950304259634888,0.10476275899183783,0.11820952608617702,1.0,0.1811469357617524,0.2152338811630847,0.21438172043010753,0.14436271819080032,0.14963545885892837,0.07708641063515509,0.0731576835629263,0.09594594594594595,0.02939565455541355,0.10215053763440861,0.15215082315454062,0.04424073335990435,0.15296712109061747,0.10876468720228644,0.1253211009174312,0.12205188679245282,0.1316152784169351,0.04966641957005189,0.1271701388888889,0.10314685314685315,0.12671594508975711,0.079002079002079,0.06184668989547038,0.2293483837865572,0.1548938134810711,0.10043338986244582,0.03567953292247811,0.10301507537688442,0.06365275273887117,0.11861527025592014,0.20623882376316313,0.10430669653970624,0.054858934169279,0.10835272821308507,0.10940919037199125,0.123319787433573,0.2104580812445981,0.1428183177062101,0.12983151635282458,0.08844813722862503,0.13173854447439354,0.10150812064965198,0.08909254097973451,0.11940713937791385,0.1796998420221169,0.0833826138379657,0.07343283582089552,0.04353741496598639,0.04911778731521221,0.17685382610755745,0.05223880597014925,0.09719914069150014,0.1680544153864196,0.08435905133593516,0.11552988224838924,0.09114583333333333,0.17800289435600578,0.08424657534246575,0.12921515965383468,0.16550279329608938,0.1605854253481045,0.12854154782278,0.06906180193596426,0.09891863144832476,0.07756117793446703,0.17156456953642385,0.10679071836311069,0.07356262833675564,0.07181571815718157,0.11192930780559647,0.1989010989010989,0.11826662654228107,0.09404163675520459,0.2077922077922078,0.07403002824438829,0.14974037874160048,0.23166023166023167,0.06782106782106782,0.04697624190064795,0.033109404990403074,0.1527777777777778,0.11988041853512706,0.06718014548566538,0.18363370677057964,0.22829232995658466,0.11334894613583138,0.2312232851618156,0.25127896479085166,0.11487404620048082,0.15926724137931034,0.20834982192322912,0.08981380065717415,0.13436866981769074,0.08817103620474406,0.18719452590420332,0.10782585107825851,0.112,0.15570934256055363,0.11861871626455095,0.0602810650887574,0.21446280991735536,0.16744730679156908,0.1041264944080216,0.1206896551724138,0.09463754224890279,0.08650967870684494,0.2227579556412729,0.08400390148744209,0.07837554323392777,0.11176521513288892,0.10669843791368812,0.09835133598635588,0.19616104868913858,0.053408895758200244,0.20746485700436257,0.12042105263157894,0.0804547442063839,0.09755694948827996,0.15935334872979215,0.08305002428363283,0.21882542236524538,0.14092380111797587,0.11658970976253298,0.11390295098160266,0.3953488372093023,0.09743243243243244,0.11930418719211823,0.11253196930946291
