title,nešvankiai,Skirmantas Malinauskas,Svarbeuse Dariti,KONTRA,Eastern European,LaLand Music,"O, Dangau!",Artur Lebedenko Swan,deMiko,BaltaLietuviS,Enoxas,Fuxeris,On1Beat,Įdomioji Dokumentika,Žaidimų Balsas,Lietuvos nacionalinis radijas ir televizija,15min,Husarai Official,Komentaras TV,InfamousJJ,PildykLT,Ilja Laurs,Ignas Lelys,Pralaužk Vieną Šaltą,Šventinis bankuchenas,Šeškės,A Team Comedy,Martial Arts Journey with Rokas,Camiworld,OpenPlay,Stanislavas Stavickis (Stano),Viktorija Rupeikytė - Victoria,Alfa TV,Furytto,Simonas Dailidė,Augustas Šuliauskas,OpTV,Bičiuliai,PROTO INDUSTRIJA,UBR Team,LTU Republic 2,Mantas Stonkus,Vikkyxo,GJan,Betsafe-LKL TV,Krebždesys,Darius Žaidžia,Edvisss,Rokas Yan,Pagal Jurgį,Autoplius.lt,Važiuojam AUTO,Negyvas Eteris,LaisvėsTV X,LTU Republic,Vu Records,Eltis LT,Diana ir draugai,Aleksandr Lukjanov,Omantas,Martynas Kavaliauskas,Paulius Samoška,cestovas,Donny Montell,Saulius Prūsaitis oficialus kanalas,SelMusic,Hypocrite,Lrytas.lt,2Kvėpavimas,Andrius Talzunas,Martas Tankevičius,Kiemo draugai,Redakcija,TV3 Televizija,KITOKS PASAULIS,Noeliukas,WhyDotas,LaisvėsTV,NISLT,JK Sax - Juozas Kuraitis Saxophonist,cheska,Man Kablys,A Friend,dima_wallhacks,Žinių radijas,Munis,Vestro,Delfi Video,IŠ NAUJO,Dividendų Eksperimentas,Emilis Jokūbas,HIPARIKAI,Evgenya Redko,MrBegėdis,prefis,Rolandas,DamagePlanas,Šerifas,Mantas Bartuševičius,Svarbeuse Lankiti,Easternas,KARALIAI Official,LNK Televizija,Benediktas Vanagas,EnoxsPC,Zalgiris Kaunas,stasas777,AntanasJ,Kūrybinis Potencialas,Sisters On Wire,Judzikas,Lithuania Explained,TIKRA RIDA,Bernužėliai,Aurimas Valujavičius,BasketNews․LT,#Mantaz,Jovani,Delfi,DeividasBen,Vaidas Baumila,Aurimas Mockus,Tomuxas,NeRedaguota,Radvis,Natalija Bunke,Jazzu,Kitokie pasikalbėjimai,Vital CSGO,Radijo stotis M-1,0029lt,televizijos bokštas,Dainius Sinkevičius,norbefilms,Ertyez,Gazas Dugnas TV,"Sergej ""KUVALDA"" Maslobojev",GURIS
nešvankiai,1.0,0.6058806058806059,0.3572913572913573,0.37840290381125224,0.4446094446094446,0.22748091603053436,0.19793681495809157,0.3091773091773092,0.5672705672705672,0.3386281588447653,0.15417867435158503,0.2813127930341594,0.27595628415300544,0.2759132759132759,0.2871992871992872,0.18592218592218593,0.1519159036961682,0.17391304347826086,0.03159224936815501,0.043859649122807015,0.2084942084942085,0.12026515151515152,0.34115523465703973,0.4662904662904663,0.20270824784571195,0.23054755043227665,0.36887436887436886,0.01581325301204819,0.26214574898785425,0.2156019656019656,0.16928251121076232,0.16103603603603603,0.1048780487804878,0.32853982300884954,0.31664853101196955,0.21919142717973697,0.040328603435399554,0.13901345291479822,0.177984496124031,0.3356103356103356,0.3187147199305254,0.45767745767745766,0.18598382749326145,0.2361152361152361,0.2033898305084746,0.2590625,0.2153253424657534,0.16127116127116128,0.22428884026258206,0.2318181818181818,0.24215607401448108,0.1794871794871795,0.6667656667656667,0.5111375111375112,0.40807840807840806,0.16399082568807338,0.18785310734463276,0.0496969696969697,0.13997985901309165,0.3754083754083754,0.11924119241192412,0.7018117018117018,0.36085536085536085,0.1664779161947905,0.1779739776951673,0.20908820908820908,0.32450331125827814,0.13813979086406164,0.25093167701863356,0.2696762696762697,0.3991683991683992,0.3805970149253731,0.19525193798449614,0.15,0.09860557768924302,0.2821279139270771,0.8072468072468072,0.46332046332046334,0.042488619119878605,0.06735751295336788,0.2921077959576516,0.19207108680792892,0.07413647851727043,0.12894736842105264,0.13794421092854414,0.4832194832194832,0.4040315512708151,0.13487738419618528,0.1536144578313253,0.13039014373716631,0.517968517968518,0.42114642114642115,0.23026926648096566,0.21254681647940074,0.2497978981406629,0.262861169837914,0.2882797731568998,0.2981012658227848,0.6685476685476686,0.3490175801447777,0.30980027868091037,0.15384615384615385,0.2639593908629442,0.21911663216011043,0.12806236080178174,0.2155819774718398,0.046153846153846156,0.3908523908523909,0.517077517077517,0.18408360128617363,0.1915983606557377,0.17329545454545456,0.2643312101910828,0.1485148514851485,0.5901395901395902,0.26343926343926344,0.17497231450719822,0.26046926046926044,0.3183843183843184,0.5147015147015147,0.1908276225619399,0.2276595744680851,0.28055555555555556,0.09813721035892777,0.3596392333709132,0.16167192429022081,0.1875,0.5916245916245916,0.12099644128113879,0.18349514563106797,0.3102866779089376,0.2917647058823529,0.25862068965517243,0.5405405405405406,0.2702702702702703,0.24074670099774703,0.26575550493545935,0.20381917381137957
Skirmantas Malinauskas,0.6058806058806059,1.0,0.38357464989318774,0.6533575317604355,0.41882271227643686,0.416793893129771,0.6537717601547389,0.5310650887573964,0.6050688976377953,0.4888086642599278,0.12584053794428435,0.22237106496985934,0.46174863387978143,0.5346960731576116,0.5271781534460338,0.5175456597578494,0.6290267887419464,0.3171355498721228,0.2809604043807919,0.02631578947368421,0.18653894630703302,0.6638257575757576,0.41064981949458484,0.692920857847789,0.616741895773492,0.4265129682997118,0.6203677510608203,0.0677710843373494,0.6194331983805668,0.449017199017199,0.3867713004484305,0.3952702702702703,0.6097560975609756,0.3993362831858407,0.4749727965179543,0.6390647832440332,0.3435399551904406,0.24663677130044842,0.706046511627907,0.5003267262034415,0.31524099001302647,0.5905055962948669,0.38005390835579517,0.47879109225874866,0.5341905318527177,0.486875,0.2542808219178082,0.16052169551040882,0.4048140043763676,0.714935064935065,0.583266291230893,0.5313390313390314,0.5564172159751842,0.5797297297297297,0.3613890523837551,0.31880733944954126,0.614406779661017,0.07151515151515152,0.5347432024169184,0.4813254703734906,0.35772357723577236,0.47701099662308427,0.341222366710013,0.41676104190260477,0.4107806691449814,0.4789892106757524,0.40066225165562913,0.5008255365987893,0.4161490683229814,0.2595911509381126,0.37510803802938636,0.6492537313432836,0.8226744186046512,0.515,0.3346613545816733,0.7352062163777645,0.5134749391318949,0.6833627537511032,0.0622154779969651,0.32124352331606215,0.23243503368623677,0.4449760765550239,0.21398483572030327,0.13157894736842105,0.7160871226595338,0.5587647593097185,0.5867659947414549,0.6553133514986376,0.6289156626506024,0.5770020533880903,0.5503173164097914,0.6364541832669323,0.5441039925719592,0.18664169787765295,0.22392886014551333,0.5137420718816068,0.3766540642722117,0.20443037974683545,0.5458720612356479,0.3536711478800414,0.3367394333488156,0.2661122661122661,0.5025380710659898,0.6193926846100759,0.09688195991091314,0.5215894868585732,0.2923076923076923,0.321191343475466,0.6155992744523511,0.5321543408360129,0.12295081967213115,0.5241477272727273,0.5550500454959054,0.28094059405940597,0.5056991654793406,0.6048181607597869,0.09413067552602436,0.4690734055354994,0.5556471558120363,0.48965177398160314,0.4306800210859251,0.6304964539007092,0.19611111111111112,0.6433439345751931,0.4363021420518602,0.3257097791798107,0.4365808823529412,0.5862839665921656,0.25622775800711745,0.441747572815534,0.2866779089376054,0.7411764705882353,0.7111017661900757,0.4719715266302275,0.2864864864864865,0.5745091728355327,0.6594533029612756,0.5584567420109119
Svarbeuse Dariti,0.3572913572913573,0.38357464989318774,1.0,0.352994555353902,0.5440303821504866,0.19083969465648856,0.18407479045776917,0.27462615713268457,0.407073344410159,0.3913357400722022,0.4058597502401537,0.7441393168117884,0.33469945355191255,0.2689618074233459,0.37685305591677504,0.12746261571326845,0.1342828077314344,0.23529411764705882,0.03622577927548441,0.12280701754385964,0.3123266952356945,0.07291666666666667,0.3637184115523466,0.2888677901732732,0.15798112433319655,0.20605187319884727,0.2984441301272984,0.02033132530120482,0.1882591093117409,0.20884520884520885,0.20739910313901344,0.16216216216216217,0.10975609756097561,0.4480088495575221,0.42872687704026113,0.18996590355577203,0.03696788648244959,0.16591928251121077,0.10604651162790697,0.396629480180394,0.6204950065132436,0.32043674341324474,0.09973045822102426,0.2104984093319194,0.21274108708357686,0.395,0.4627568493150685,0.3227990970654628,0.18599562363238512,0.21363636363636362,0.251810136765889,0.24074074074074073,0.5350106812247805,0.4115831948730121,0.5983859482553999,0.24426605504587157,0.1440677966101695,0.11757575757575757,0.1339375629405841,0.4703734905925302,0.08672086720867209,0.6627106574887254,0.43719115734720415,0.16704416761041901,0.1970260223048327,0.1848381601362862,0.35596026490066224,0.12878370941111722,0.3167701863354037,0.39708765051806216,0.4516971279373368,0.2840796019900497,0.09156976744186046,0.16041666666666668,0.10557768924302789,0.27256425582785415,0.8281509613102302,0.28601946356515545,0.05007587253414264,0.08549222797927461,0.539461020211742,0.32809295967190705,0.08677337826453244,0.2578947368421053,0.09400076423385556,0.39710420128174695,0.36108676599474143,0.09264305177111716,0.06506024096385542,0.1026694045174538,0.44315214811298365,0.27963147410358563,0.15506035283194058,0.47097378277153557,0.6337914308811641,0.36856941508104296,0.581758034026465,0.6620253164556962,0.519344884880133,0.7063081695966908,0.6474686483975848,0.1600831600831601,0.2131979695431472,0.2370600414078675,0.38641425389755013,0.23873591989987483,0.1,0.43769285544742464,0.3584144315214811,0.1454983922829582,0.3760245901639344,0.12215909090909091,0.34986351228389445,0.22400990099009901,0.5281272252551626,0.1884642772371232,0.49723145071982283,0.20914560770156437,0.21647282221694755,0.3990030856871588,0.1787032156035846,0.19290780141843972,0.5683333333333334,0.0667878237164925,0.4363021420518602,0.15615141955835962,0.13419117647058823,0.45122240683598386,0.1494661921708185,0.23009708737864076,0.6829679595278246,0.14823529411764705,0.21656854499579478,0.6230714455257537,0.4918918918918919,0.2919214676536852,0.288914198936978,0.269680436477007
KONTRA,0.37840290381125224,0.6533575317604355,0.352994555353902,1.0,0.48593466424682397,0.2,0.20054446460980035,0.3566243194192377,0.4804900181488203,0.23898916967509026,0.08261287223823247,0.1781647689216343,0.20355191256830601,0.3430127041742287,0.294010889292196,0.23139745916515425,0.18874773139745918,0.1585677749360614,0.07032667876588022,0.008771929824561403,0.16560798548094374,0.14015151515151514,0.19646098003629764,0.48366606170598914,0.14882032667876588,0.17723342939481268,0.39065335753176045,0.02108433734939759,0.19230769230769232,0.14434889434889434,0.1289237668161435,0.14864864864864866,0.14390243902439023,0.27101769911504425,0.19205658324265507,0.1256697515830492,0.0866606170598911,0.1031390134529148,0.20417422867513613,0.4042649727767695,0.17831215970961886,0.4074410163339383,0.11320754716981132,0.20372050816696916,0.1396843950905903,0.2872050816696915,0.12522686025408347,0.12840290381125227,0.11269146608315099,0.20909090909090908,0.21238938053097345,0.1794871794871795,0.6497277676950998,0.42558983666061706,0.35798548094373867,0.13646788990825687,0.14124293785310735,0.02181818181818182,0.12588116817724068,0.37295825771324864,0.0948509485094851,0.6406533575317604,0.2894736842105263,0.10702151755379388,0.1324349442379182,0.27223230490018147,0.22185430463576158,0.13318657127132635,0.18757763975155278,0.21143375680580762,0.34346642468239563,0.19751243781094527,0.13565891472868216,0.15245009074410162,0.14143426294820718,0.2337118947997609,0.7717785843920145,0.44918330308529947,0.027314112291350532,0.05958549222797927,0.1482194417709336,0.15242652084757347,0.05307497893850042,0.06842105263157895,0.16424682395644283,0.4205989110707804,0.28629764065335755,0.1307901907356948,0.12831325301204818,0.12628336755646818,0.5476406533575318,0.44464609800362975,0.12720519962859797,0.17196007259528132,0.15278900565885206,0.2595281306715064,0.19092627599243855,0.16645569620253164,0.5662431941923775,0.19183040330920373,0.21086855550394798,0.09563409563409564,0.19458544839255498,0.1955535390199637,0.05456570155902005,0.18557168784029038,0.046153846153846156,0.3352994555353902,0.49319419237749546,0.1189710610932476,0.07684426229508197,0.11931818181818182,0.19836214740673339,0.13613861386138615,0.5558076225045372,0.2545372050816697,0.0753045404208195,0.2713248638838475,0.3838475499092559,0.40834845735027225,0.13073273589878756,0.17872340425531916,0.14222222222222222,0.1154020899591095,0.2277339346110485,0.10883280757097792,0.11121323529411764,0.6079854809437386,0.08540925266903915,0.12135922330097088,0.2900505902192243,0.2815686274509804,0.3203266787658802,0.5644283121597096,0.14594594594594595,0.2631578947368421,0.31669691470054445,0.205535390199637
Eastern European,0.4446094446094446,0.41882271227643686,0.5440303821504866,0.48593466424682397,1.0,0.27938931297709924,0.2607994842037395,0.2906804733727811,0.46396943913873934,0.6,0.4620557156580211,0.6651038178164769,0.5109289617486339,0.38031199569661106,0.48530559167750326,0.18181818181818182,0.20244150559511698,0.32225063938618925,0.07287278854254423,0.17543859649122806,0.3665238215276027,0.12026515151515152,0.39305054151624547,0.30859745682292655,0.29544521953221176,0.30979827089337175,0.35134370579915136,0.04292168674698795,0.27125506072874495,0.2702702702702703,0.31053811659192826,0.24887387387387389,0.18292682926829268,0.5873893805309734,0.4357997823721436,0.25962006819288846,0.07356235997012696,0.21076233183856502,0.16527131782945736,0.42539751688085387,0.6378636561007381,0.30586646082593594,0.15902964959568733,0.29931071049840935,0.32144944476914084,0.48625,0.5659246575342466,0.36217707549535993,0.21991247264770242,0.2564935064935065,0.4006436041834272,0.31196581196581197,0.4957457891995138,0.4222955374196909,0.5679811653914068,0.3176605504587156,0.2231638418079096,0.12848484848484848,0.18026183282980865,0.5481606290367874,0.18699186991869918,0.5841291890953291,0.4668400520156047,0.23442808607021517,0.2788104089219331,0.26519023282226006,0.4288079470198676,0.2239955971381398,0.3906832298136646,0.4542145057406889,0.4814174589455488,0.33781094527363187,0.16327519379844962,0.23375,0.17828685258964144,0.4190077704722056,0.8162875499218615,0.3259246396943914,0.1047040971168437,0.11917098445595854,0.5510105871029837,0.3574846206425154,0.19208087615838249,0.29210526315789476,0.16660298051203667,0.40908265213442324,0.5381244522348817,0.14577656675749318,0.10301204819277109,0.16427104722792607,0.4525838621940163,0.3493525896414343,0.22934076137418755,0.5399500624219725,0.6758286176232822,0.3939393939393939,0.6493383742911153,0.6651898734177215,0.5342941482896336,0.5299896587383661,0.8021365536460753,0.2079002079002079,0.2961082910321489,0.30193236714975846,0.45434298440979953,0.3172715894868586,0.13076923076923078,0.4606813799014356,0.43531863170689356,0.22266881028938906,0.42110655737704916,0.2755681818181818,0.37306642402183804,0.30445544554455445,0.46275395033860045,0.24994208941394486,0.5116279069767442,0.27123947051744884,0.22104532036811947,0.343636047924987,0.24459673168160254,0.23829787234042554,0.5527777777777778,0.1340299863698319,0.5343855693348365,0.20425867507886436,0.21323529411764705,0.4407015106789373,0.2846975088967972,0.3504854368932039,0.7217537942664418,0.2917647058823529,0.2968881412952061,0.5745789199513804,0.5027027027027027,0.39233987769552625,0.3853454821564161,0.34372564302416214
LaLand Music,0.22748091603053436,0.416793893129771,0.19083969465648856,0.2,0.27938931297709924,1.0,0.11145038167938931,0.2961832061068702,0.2900763358778626,0.10381679389312977,0.0900763358778626,0.07633587786259542,0.06259541984732825,0.28549618320610687,0.17557251908396945,0.3755725190839695,0.2015267175572519,0.23785166240409208,0.10687022900763359,0.008771929824561403,0.2015267175572519,0.042748091603053436,0.2152671755725191,0.26106870229007634,0.10381679389312977,0.2152671755725191,0.20305343511450383,0.004580152671755725,0.11297709923664122,0.3068702290076336,0.2717557251908397,0.2961832061068702,0.07804878048780488,0.08244274809160305,0.13435114503816795,0.06259541984732825,0.12061068702290076,0.273542600896861,0.13282442748091602,0.2580152671755725,0.07938931297709924,0.28549618320610687,0.07547169811320754,0.38778625954198476,0.07786259541984733,0.15725190839694655,0.06870229007633588,0.13587786259541984,0.20610687022900764,0.1083969465648855,0.08091603053435115,0.06564885496183206,0.4396946564885496,0.2885496183206107,0.1969465648854962,0.2564885496183206,0.05648854961832061,0.0366412213740458,0.04885496183206107,0.2,0.1951219512195122,0.433587786259542,0.2,0.26259541984732826,0.33587786259541985,0.433587786259542,0.22847682119205298,0.166412213740458,0.3374045801526718,0.18931297709923664,0.2015267175572519,0.07022900763358779,0.07480916030534351,0.23206106870229007,0.05343511450381679,0.10687022900763359,0.516030534351145,0.3374045801526718,0.0030534351145038168,0.046632124352331605,0.10687022900763359,0.07786259541984733,0.015267175572519083,0.005263157894736842,0.1267175572519084,0.23053435114503817,0.1450381679389313,0.08244274809160305,0.07633587786259542,0.051908396946564885,0.2732824427480916,0.2183206106870229,0.15877862595419848,0.11145038167938931,0.06259541984732825,0.15419847328244274,0.0916030534351145,0.05648854961832061,0.3786259541984733,0.10229007633587786,0.09923664122137404,0.19750519750519752,0.07952622673434856,0.11450381679389313,0.030534351145038167,0.1435114503816794,0.1,0.35419847328244275,0.24122137404580152,0.2,0.03816793893129771,0.022900763358778626,0.13435114503816795,0.2198473282442748,0.3938931297709924,0.14961832061068703,0.02748091603053435,0.4396946564885496,0.3816793893129771,0.27633587786259545,0.2595419847328244,0.06717557251908397,0.08396946564885496,0.07022900763358779,0.09465648854961832,0.24732824427480915,0.1969465648854962,0.4351145038167939,0.0071174377224199285,0.10381679389312977,0.03541315345699832,0.07480916030534351,0.2,0.3068702290076336,0.032432432432432434,0.18625954198473282,0.14045801526717558,0.11450381679389313
"O, Dangau!",0.19793681495809157,0.6537717601547389,0.18407479045776917,0.20054446460980035,0.2607994842037395,0.11145038167938931,1.0,0.24790457769181173,0.4381044487427466,0.1703971119133574,0.05427473583093179,0.09109176155391828,0.11202185792349727,0.20502901353965183,0.25112830431979366,0.2572533849129594,0.3896236012207528,0.10741687979539642,0.07245155855096883,0.008771929824561403,0.08865248226950355,0.1903409090909091,0.14034296028880866,0.41843971631205673,0.18957734919983588,0.1484149855907781,0.24177949709864605,0.01957831325301205,0.11437246963562753,0.15786240786240785,0.1266816143497758,0.11936936936936937,0.1951219512195122,0.1515486725663717,0.16376496191512513,0.5767169995129079,0.08439133681852129,0.08520179372197309,0.22404900064474534,0.19890393294648614,0.1276595744680851,0.3059316569954868,0.04582210242587601,0.17891682785299806,0.5330216247808299,0.13313990973565443,0.0916095890410959,0.06834300451321727,0.1137855579868709,0.24285714285714285,0.19790828640386163,0.16809116809116809,0.5715667311411993,0.3694390715667311,0.20535138620245003,0.10894495412844037,0.12429378531073447,0.025454545454545455,0.1510574018126888,0.19696969696969696,0.10298102981029811,0.49258542875564154,0.14925854287556414,0.13023782559456398,0.14869888475836432,0.16892327530625403,0.12417218543046357,0.14804623004953218,0.12360248447204969,0.10767246937459704,0.16021921341070278,0.23781094527363184,0.2446705426356589,0.20041666666666666,0.0846613545816733,0.22653915122534368,0.5602836879432624,0.584461637653127,0.015174506828528073,0.08808290155440414,0.09528392685274302,0.15379357484620643,0.04970513900589722,0.05263157894736842,0.25143293847917464,0.3098001289490651,0.17484662576687116,0.21934604904632152,0.13795180722891567,0.15605749486652978,0.2869116698903933,0.30077369439071566,0.14763231197771587,0.07027724049000644,0.10105092966855295,0.12614517265680056,0.14366729678638943,0.0759493670886076,0.48484848484848486,0.125129265770424,0.13051555968416165,0.08316008316008316,0.15905245346869712,0.2971014492753623,0.0334075723830735,0.4568020631850419,0.08461538461538462,0.16054158607350097,0.40135396518375244,0.17282958199356913,0.06762295081967214,0.14914772727272727,0.1305732484076433,0.08415841584158416,0.5025789813023855,0.6982591876208898,0.05094130675526024,0.19825918762088976,0.34235976789168276,0.23339780786589298,0.14654717975751186,0.22907801418439716,0.06333333333333334,0.21671967287596547,0.11161217587373168,0.07097791798107256,0.11672794117647059,0.533204384268214,0.10320284697508897,0.15436893203883495,0.08431703204047218,0.14901960784313725,0.20857863751051303,0.34332688588007737,0.10270270270270271,0.1882656350741457,0.2501898253606682,0.1348402182385035
Artur Lebedenko Swan,0.3091773091773092,0.5310650887573964,0.27462615713268457,0.3566243194192377,0.2906804733727811,0.2961832061068702,0.24790457769181173,1.0,0.38369082840236685,0.31841155234657037,0.23967339097022095,0.33288680509042196,0.3005464480874317,0.28321678321678323,0.27334200260078023,0.2692386620151857,0.2960325534079349,0.29411764705882354,0.1996630160067397,0.05263157894736842,0.2576254096294429,0.3939393939393939,0.38267148014440433,0.2936040994496109,0.22691834222404597,0.3357348703170029,0.30495049504950494,0.025602409638554216,0.35020242914979755,0.292997542997543,0.3004484304932735,0.2916666666666667,0.33902439024390246,0.28761061946902655,0.4009793253536453,0.22113979542133463,0.2027632561613144,0.242152466367713,0.3404651162790698,0.25789588324983664,0.2822405557967868,0.3081821690467001,0.6064690026954178,0.2576882290562036,0.24780829924021042,0.2790625,0.3159246575342466,0.20215701028342112,0.2975929978118162,0.3961038961038961,0.31053901850362026,0.25783475783475784,0.5177514792899408,0.3552144970414201,0.2797724151461644,0.2580275229357798,0.2598870056497175,0.09090909090909091,0.31419939577039274,0.32968267340634655,0.2872628726287263,0.4630177514792899,0.32327698309492847,0.3233295583238958,0.3034386617100372,0.2782509937535491,0.3443708609271523,0.3588332416070446,0.29440993788819875,0.32595911509381126,0.28522039757994816,0.25522388059701495,0.2698643410852713,0.34458333333333335,0.2679282868525896,0.30245068738792585,0.5210798816568047,0.4010724852071006,0.04704097116843703,0.22538860103626943,0.31809432146294514,0.23444976076555024,0.07834877843302443,0.10789473684210527,0.33320596102407335,0.26904585798816566,0.3032427695004382,0.3555858310626703,0.555421686746988,0.3275154004106776,0.2845784023668639,0.3040338645418327,0.34447539461467036,0.2705992509363296,0.3427647534357316,0.23361522198731502,0.31285444234404536,0.31455696202531647,0.42788461538461536,0.265770423991727,0.2587087784486763,0.23076923076923078,0.3197969543147208,0.2712215320910973,0.20824053452115812,0.2453066332916145,0.2153846153846154,0.3398328690807799,0.33949704142011833,0.29260450160771706,0.16495901639344263,0.16619318181818182,0.21929026387625114,0.2698019801980198,0.4604289940828402,0.21056289089645588,0.24916943521594684,0.29290012033694346,0.3563239644970414,0.2949334319526627,0.3104902477596205,0.2773049645390071,0.26222222222222225,0.2612448886869605,0.23675310033821872,0.27681388012618297,0.32996323529411764,0.4552514792899408,0.12099644128113879,0.2543689320388349,0.4131534569983137,0.30196078431372547,0.29310344827586204,0.3378328402366864,0.31891891891891894,0.28097843579015125,0.3572513287775247,0.24473889321901793
deMiko,0.5672705672705672,0.6050688976377953,0.407073344410159,0.4804900181488203,0.46396943913873934,0.2900763358778626,0.4381044487427466,0.38369082840236685,1.0,0.5422382671480145,0.24687800192122958,0.3462826523777629,0.49863387978142076,0.37600860677783754,0.5253576072821846,0.3084342294274574,0.3309596473380807,0.26342710997442453,0.07497893850042123,0.13157894736842105,0.27022939248802624,0.3153409090909091,0.4074909747292419,0.5951793509204782,0.574887156339762,0.3530259365994236,0.5417256011315418,0.05421686746987952,0.4423076923076923,0.3845208845208845,0.30829596412556054,0.2668918918918919,0.25365853658536586,0.4524336283185841,0.41458106637649617,0.4413054067218704,0.0970873786407767,0.19282511210762332,0.4316279069767442,0.407754301895012,0.5197568389057751,0.5057892705519105,0.37735849056603776,0.42232237539766704,0.41671537112799534,0.4590625,0.4006849315068493,0.2197140707298721,0.34573304157549234,0.42012987012987013,0.45213193885760256,0.2962962962962963,0.5891978346456693,0.6466966966966967,0.49931332156170294,0.27408256880733944,0.3545197740112994,0.05818181818181818,0.29607250755287007,0.521763549564729,0.27100271002710025,0.5249753937007874,0.42288686605981796,0.38391845979614947,0.3336431226765799,0.31714934696195346,0.4105960264900662,0.27242707760044027,0.3801242236024845,0.3718846261551386,0.4111927398444252,0.5980099502487563,0.5295542635658915,0.2891666666666667,0.1752988047808765,0.5540944411237299,0.6922982283464567,0.5398622047244095,0.09104704097116843,0.17357512953367876,0.39557266602502406,0.3192071086807929,0.2021903959561921,0.24473684210526317,0.42529614061902943,0.5331516802906449,0.5920245398773006,0.2683923705722071,0.3536144578313253,0.3182751540041068,0.5138712601994561,0.5398406374501992,0.45403899721448465,0.33458177278401996,0.43411479385610346,0.3534178999295278,0.4877126654064272,0.35822784810126584,0.5967027559055118,0.3960703205791106,0.40222944728286114,0.19126819126819128,0.3824027072758037,0.46273291925465837,0.21046770601336304,0.42490613266583227,0.09230769230769231,0.39104349689307905,0.5787637784289102,0.4139871382636656,0.23975409836065573,0.39488636363636365,0.3607825295723385,0.21287128712871287,0.43996062992125984,0.43131804493861475,0.25359911406423036,0.3742478941034898,0.34031327287716406,0.48866622864651776,0.3726937269372694,0.37943262411347517,0.31555555555555553,0.28032712403452975,0.43291995490417134,0.2476340694006309,0.3897058823529412,0.5195620078740157,0.3487544483985765,0.3932038834951456,0.4468802698145025,0.4674509803921569,0.37973086627417996,0.4160416931485954,0.4810810810810811,0.4425490827164467,0.4498861047835991,0.397116134060795
BaltaLietuviS,0.3386281588447653,0.4888086642599278,0.3913357400722022,0.23898916967509026,0.6,0.10381679389312977,0.1703971119133574,0.31841155234657037,0.5422382671480145,1.0,0.2,0.18411552346570398,0.16256830601092895,0.28808664259927796,0.37328519855595665,0.2036101083032491,0.12707581227436823,0.0741687979539642,0.034657039711191336,0.02631578947368421,0.29819494584837547,0.019886363636363636,0.18339350180505415,0.35090252707581226,0.16823104693140795,0.0893371757925072,0.2743682310469314,0.012801204819277108,0.08502024291497975,0.096028880866426,0.08632286995515695,0.06644144144144144,0.05365853658536585,0.19911504424778761,0.17184115523465704,0.1256317689530686,0.039711191335740074,0.06726457399103139,0.09169675090252707,0.30108303249097473,0.29386281588447655,0.29819494584837547,0.05660377358490566,0.21155234657039712,0.1263537906137184,0.23898916967509026,0.2772563176895307,0.28303249097472927,0.07330415754923414,0.07220216606498195,0.09573612228479485,0.08974358974358974,0.5184115523465704,0.4671480144404332,0.5458483754512635,0.07454128440366972,0.0480225988700565,0.030303030303030304,0.0433031218529708,0.3884476534296029,0.04065040650406504,0.6332129963898917,0.36101083032490977,0.06931407942238267,0.12274368231046931,0.17978339350180506,0.13245033112582782,0.08736462093862817,0.11913357400722022,0.32996389891696754,0.42454873646209385,0.15740072202166064,0.08086642599277978,0.1299638989169675,0.05079681274900399,0.1776173285198556,0.8433212996389892,0.3725631768953069,0.03490136570561457,0.038860103626943004,0.24332129963898916,0.11768953068592057,0.06486941870261162,0.1368421052631579,0.10252707581227437,0.511913357400722,0.34729241877256317,0.055858310626702996,0.036101083032490974,0.030800821355236138,0.5350180505415163,0.2945848375451264,0.0436397400185701,0.3371841155234657,0.19320937752627323,0.17689530685920576,0.29169675090252706,0.23032490974729242,0.6137184115523465,0.18339350180505415,0.24693140794223828,0.060291060291060294,0.10829103214890017,0.13935018050541517,0.13140311804008908,0.2187725631768953,0.05384615384615385,0.41371841155234657,0.49530685920577616,0.05546623794212219,0.16290983606557377,0.11079545454545454,0.11335740072202166,0.07673267326732673,0.49891696750902526,0.2332129963898917,0.16943521594684385,0.1855595667870036,0.2339350180505415,0.35379061371841153,0.09747292418772563,0.07075812274368232,0.2036101083032491,0.053429602888086646,0.17700112739571588,0.061514195583596214,0.057904411764705885,0.4700361010830325,0.09608540925266904,0.06796116504854369,0.2057335581787521,0.12156862745098039,0.16606498194945848,0.5270758122743683,0.22162162162162163,0.1711191335740072,0.1855595667870036,0.15812274368231047
