title,Lrytas.lt,PildykLT,AntanasJ,Bernužėliai,Vu Records,PROTO INDUSTRIJA,Lietuviški filmukai vaikams,Rokas Yan,Bičiuliai,Šeškės,Mrs K Bakes And Cakes,HIPARIKAI,Važiuojam AUTO,15min,Miuziklas „Kakės Makės gimtadienis“,NeRedaguota,Judzikas,Negyvas Eteris,Delfi,Camiworld,Fuxeris,LuLu Vaikai,Smurfai • Lietuvių,Gazas Dugnas TV,KITOKS PASAULIS,cheska,Alfa TV,Rolandas,Martas Tankevičius,Mainexas,Autoplius.lt,Skirmantas Malinauskas,autodoc.LT,Dainius Sinkevičius,LRT VAIKAI,Vikkyxo,Ausrine Gerikiene,KONTRA,EnoxsPC,Stanislavas Stavickis (Stano),Mantas Stonkus,TIKRA RIDA,Augustas Šuliauskas,Delfi Video,Twisteris,BasketNews․LT,"O, Dangau!",Andrius Talzunas,Radijo stotis M-1,Atviras Seimas,SelMusic,Lithuania Explained,Ilja Laurs,Jovani,Mantas Bartuševičius,Skoniu parkas,LNK Televizija,Saulius Prūsaitis oficialus kanalas,Artur Lebedenko Swan,DŽINGLAI,Įdomioji Dokumentika,Kiemo draugai,OpenPlay,Žaidimų Balsas,Dividendų Eksperimentas,Munis,Enoxas,Žinių radijas,TV3 Televizija,Martynas Kavaliauskas,Kūrybinis Potencialas,LaisvėsTV,KARALIAI Official,PonasAkiniuotis,A Team Comedy,Kitokie pasikalbėjimai,DamagePlanas,Radvis,Telia Lietuva,2Kvėpavimas,Betsafe-LKL TV,OpTV,Gintaras Pociūnas,Diana ir draugai,BC WOLVES,Lietuvos nacionalinis radijas ir televizija,LaLand Music,Edvisss,Komentaras TV,Redakcija,ACME Film Lietuva,Emilis Jokūbas,maisto megeja,Natalija Bunke,Svarbeuse Dariti,Pralaužk Vieną Šaltą,Viktorija Rupeikytė - Victoria
Lrytas.lt,1.0,0.00025849812588858733,0.0003436426116838488,0.0019193857965451055,0.0,0.003787878787878788,0.0,0.0,0.0,0.004909983633387889,0.0,0.00215633423180593,0.009652509652509652,0.03644486245003527,0.0,0.018402891883010187,0.0,0.0022356360384529397,0.01915568570034163,0.0011467889908256881,0.0009523809523809524,0.0,0.0,0.0016882386043894203,0.004409171075837742,0.0,0.061437191442676904,0.001445086705202312,0.0007317965605561653,0.0,0.001890359168241966,0.008747892074198987,0.0,0.00980392156862745,0.0,0.0,0.0,0.0,0.0,0.0037243947858473,0.0,0.0004484304932735426,0.0020920502092050207,0.04663009404388715,0.0,0.001780767708745548,0.003246753246753247,0.0,0.0,0.0,0.0018656716417910447,0.0037697052775873888,0.0015082956259426848,0.0,0.0,0.0,0.0,0.003205128205128205,0.0047032474804031355,0.0,0.004434589800443459,0.00078064012490242,0.0,0.0004945598417408506,0.0,0.0038022813688212928,0.0,0.06016847172081829,0.02814967387572949,0.0013020833333333333,0.005873715124816446,0.014976542764345001,0.0031746031746031746,0.0,0.006097560975609756,0.0075878594249201275,0.0,0.0,0.0,0.0,0.003054989816700611,0.03234020881079704,0.0,0.0,0.0,0.02720527617477329,0.0,0.00011598237067965669,0.02817659727207466,0.02531645569620253,0.0,0.002061855670103093,0.0026041666666666665,0.0,0.0009149130832570906,0.0006108735491753207,0.0
PildykLT,0.00025849812588858733,1.0,0.07956148920004341,0.00013234515616728428,0.00026673779674579886,0.00012354830738818879,0.0,0.003297911322828875,0.00013345789403443215,0.0007850320554755986,0.0,0.002140845070422535,0.0007430340557275541,0.001750853541101287,0.0,0.0004936321453253036,0.0544382801664355,0.0038347568415548197,0.00463537246197036,0.002789753994420492,0.012648716343143395,0.0,0.0,0.0023879918125994997,0.0009796718099436689,0.006652752413253326,0.0005577244841048522,0.005627275736511089,0.04817079712477202,0.0,0.00013220518244315177,0.00199119049055693,0.0,0.0011956001912960307,0.0,0.0021175224986765486,0.0,0.0007736943907156673,0.021947173663391602,0.0002641310089804543,0.003205128205128205,0.0019463667820069203,0.002840909090909091,0.0013411740431239039,0.0018839994617144396,0.0039000912787320553,0.0013063357282821686,0.07165801828514949,0.0009337068160597573,0.0,0.0008639842014317452,0.002414486921529175,0.0002598414966870209,0.003218020917135961,0.001932242689681824,0.0,0.0035769034236075624,0.0010453416960669018,0.002610738839091463,0.0,0.004554079696394687,0.002410509822827528,0.007769016697588126,0.0016587415680636957,0.00025906735751295336,0.0014073694984646878,0.031265147842947164,0.0009102286949596086,0.001076012604719084,0.0007694280584765325,0.0013104598522754348,0.001661523854735343,0.0006525711302531976,0.0058016877637130804,0.0042330399910883365,0.004624763506411604,0.002558526288857618,0.0019402405898331393,0.0,0.0007822685788787483,0.0021242034237161063,0.0005413696652530903,0.0005291005291005291,0.08942317831909734,0.0,0.0008460236886632825,0.002081165452653486,0.10939492702281423,0.0004702931493964571,0.0005622399640166423,0.0,0.007879884996273028,0.0005393743257820927,0.005336567616737417,0.009813664596273293,0.0017325017325017325,0.00013206550449022716
AntanasJ,0.0003436426116838488,0.07956148920004341,1.0,0.0014678899082568807,0.0,0.002147239263803681,0.0,0.006539833531510107,0.0,0.003914590747330961,0.0003779289493575208,0.019303083479568814,0.0037025609379821045,0.006083650190114068,0.0,0.0024560740600793503,0.03245192307692308,0.015945330296127564,0.01440922190201729,0.007194244604316547,0.026788528206744405,0.0,0.0,0.0127000254000508,0.002997601918465228,0.016537649542575653,0.0014506769825918763,0.029298751200768493,0.06854054054054054,0.0,0.0010972933430870519,0.0090815627141878,0.0,0.008819345661450925,0.0,0.006603081438004402,0.0,0.006520247083047358,0.01467304625199362,0.0043891733723482075,0.018633540372670808,0.018590773467982557,0.007464749792645839,0.003497222793663855,0.0015308075009567547,0.007623007623007623,0.005059797608095676,0.05341002465078061,0.0037509377344336083,0.0,0.007678132678132678,0.0013647884577890426,0.0010460251046025104,0.011670124481327801,0.006482429205049471,0.0,0.013386880856760375,0.001768033946251768,0.010264150943396227,0.0,0.012687052700065062,0.012478235635519443,0.009143155694879833,0.00978753879207448,0.0024246622791825423,0.010104412260020209,0.027917364600781685,0.002019691996970462,0.002691131498470948,0.0033715441672285905,0.007321881160236553,0.005778862206241171,0.0024717514124293787,0.009009009009009009,0.020224171539961013,0.030276628185580485,0.008040201005025126,0.005513439007580979,0.0,0.006004945249028612,0.005988023952095809,0.0012793858947705101,0.004405286343612335,0.03342723004694836,0.00037965072133637056,0.002904443799012489,0.01160745691171298,0.04921526835884518,0.0008828351620633119,0.004194423883543055,0.0,0.02884402041269137,0.00038595137012736397,0.013469985358711566,0.030596315953793318,0.013175230566534914,0.00036443148688046647
Bernužėliai,0.0019193857965451055,0.00013234515616728428,0.0014678899082568807,1.0,0.02909090909090909,0.0011402508551881414,0.0,0.008088978766430738,0.11244979919678715,0.014084507042253521,0.0,0.0,0.0,0.0011845534233593934,0.0,0.0006861063464837049,0.0015764582238570678,0.00023255813953488373,0.0004897759275131628,0.0014492753623188406,0.0,0.0,0.0,0.0018808777429467085,0.0010460251046025104,0.0,0.0005707762557077625,0.0010554089709762533,0.0,0.0,0.002881844380403458,0.00010651896037494674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022922636103151862,0.0,0.0,0.0007974481658692185,0.0012067578439259854,0.0,0.00020491803278688525,0.0,0.0,0.0034965034965034965,0.0,0.006772009029345372,0.0,0.002079002079002079,0.0073284477015323115,0.0,0.0,0.0,0.01834862385321101,0.00046490004649000463,0.0,0.0,0.0,0.0061433447098976105,0.0,0.001984126984126984,0.0,0.0,0.0006333122229259025,0.0005167958656330749,0.013816925734024179,0.0,0.0005514705882352941,0.06635071090047394,0.0,0.0,0.0021404109589041095,0.0,0.0,0.0,0.015486725663716814,0.0,0.0007753941586973378,0.002890173410404624,0.0016082341588935349,0.0,0.0009407337723424271,0.023109243697478993,0.0,0.0005411255411255411,0.0,0.0,0.0,0.0,0.016113744075829384,0.0,0.0,0.017142857142857144
Vu Records,0.0,0.00026673779674579886,0.0,0.02909090909090909,1.0,0.0012195121951219512,0.0,0.010752688172043012,0.03773584905660377,0.0273972602739726,0.0,0.0006176652254478073,0.0,0.0016818837097549255,0.0,0.0003497726477789437,0.0005411255411255411,0.0007073803348266918,0.001110425663170882,0.001579778830963665,0.0,0.0,0.0,0.0006493506493506494,0.0,0.0,0.0011806375442739079,0.001088139281828074,0.0004008016032064128,0.0,0.0,0.0003215778754421696,0.0,0.0009099181073703367,0.0,0.003367003367003367,0.0,0.0,0.0,0.034482758620689655,0.000671591672263264,0.0005022601707684581,0.0016722408026755853,0.0012350761630300535,0.0,0.00020733982998133942,0.0005200208008320333,0.0007147962830593281,0.004366812227074236,0.0,0.006024096385542169,0.0,0.0,0.006224066390041493,0.00398406374501992,0.0,0.0017211703958691911,0.018421052631578946,0.00023551577955723034,0.0,0.004518072289156626,0.0,0.009259259259259259,0.0005608524957936063,0.0,0.0,0.0,0.000657030223390276,0.000870170553428472,0.01727447216890595,0.001771479185119575,0.0007432181345224824,0.04521276595744681,0.0,0.0005747126436781609,0.0026338893766461808,0.0,0.0,0.0,0.022900763358778626,0.004037685060565276,0.0007869884575026233,0.0,0.0,0.0,0.00298804780876494,0.026252983293556086,0.0,0.00018218254691200583,0.0006161429451632779,0.0,0.0009136592051164915,0.0,0.013986013986013986,0.0,0.0,0.03103448275862069
PROTO INDUSTRIJA,0.003787878787878788,0.00012354830738818879,0.002147239263803681,0.0011402508551881414,0.0012195121951219512,1.0,0.0,0.004581151832460733,0.0,0.002066115702479339,0.0,0.016055045871559634,0.005017921146953405,0.01751388295600171,0.0,0.01947477131897315,0.00040933278755628325,0.0155299055613851,0.015271625087432968,0.0008143322475570033,0.0,0.0,0.0,0.013763644992880873,0.006734006734006734,0.0009643201542912247,0.013716814159292035,0.0053674649050371595,0.0035714285714285713,0.0,0.010262257696693273,0.016902274124154886,0.0,0.012544802867383513,0.0,0.0,0.0,0.009328358208955223,0.0,0.0056179775280898875,0.015586945932781296,0.005441119315973571,0.007869589657110737,0.020222446916076844,0.0,0.011007462686567163,0.01327433628318584,0.0,0.002430133657351154,0.0,0.0063335679099225895,0.0024412572474824534,0.028225806451612902,0.007866273352999017,0.014773776546629732,0.0,0.006843455945252352,0.006147540983606557,0.020012639561828523,0.0,0.004777070063694267,0.009864364981504316,0.003491271820448878,0.0071972904318374255,0.014591439688715954,0.009674582233948988,0.0,0.021215043394406944,0.007941550190597205,0.0017809439002671415,0.008177570093457943,0.01717687074829932,0.0,0.0,0.015210777922642329,0.015520282186948854,0.000864304235090752,0.0,0.0,0.001004016064257028,0.006756756756756757,0.006389776357827476,0.012585812356979404,0.0,0.0025575447570332483,0.012002526847757423,0.0019550342130987292,0.00022279157847833353,0.00528663472658186,0.026364477335800184,0.0,0.009420289855072464,0.0013513513513513514,0.0024906600249066002,0.0013812154696132596,0.014758269720101781,0.0
Lietuviški filmukai vaikams,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rokas Yan,0.0,0.003297911322828875,0.006539833531510107,0.008088978766430738,0.010752688172043012,0.004581151832460733,0.0,1.0,0.005382131324004306,0.01680672268907563,0.0010940919037199124,0.008207343412526998,0.0013166556945358788,0.004525817732976754,0.0,0.003368893879842785,0.0023464998044583495,0.012043274137579097,0.01215317587709241,0.0022304832713754648,0.0,0.0,0.0,0.0026678523788350376,0.003107520198881293,0.0008650519031141869,0.002079002079002079,0.0007836990595611285,0.004694835680751174,0.0,0.0019940179461615153,0.0047004700470047005,0.0,0.00331858407079646,0.0,0.0009891196834817012,0.0,0.0016680567139282735,0.0006906077348066298,0.010967098703888335,0.01008249312557287,0.0011098779134295228,0.005257623554153523,0.006397952655150352,0.0,0.003260869565217391,0.004187285877426722,0.006666666666666667,0.005324813631522897,0.0,0.017739816031537452,0.001176470588235294,0.001759014951627089,0.02263083451202263,0.008278145695364239,0.0,0.013291634089132134,0.01756007393715342,0.00812842918106076,0.0,0.002904865649963689,0.006876790830945559,0.03597472046669908,0.0036159100040176776,0.0,0.003167062549485352,0.002570694087403599,0.0013428827215756492,0.0034145584355114076,0.03322259136212625,0.00819672131147541,0.006932981181908221,0.012808783165599268,0.0009372071227741331,0.008627773212818405,0.011129848229342328,0.0,0.006791171477079796,0.0,0.01731996353691887,0.0006854009595613434,0.0004417936823503424,0.0009970089730807576,0.004528502930207778,0.0,0.007611241217798595,0.017793594306049824,0.0014309301045679693,0.000968054211035818,0.00429553264604811,0.0,0.005538248528902735,0.0011641443538998836,0.02428909952606635,0.0019157088122605363,0.009555661729574774,0.007960199004975124
Bičiuliai,0.0,0.00013345789403443215,0.0,0.11244979919678715,0.03773584905660377,0.0,0.0,0.005382131324004306,1.0,0.010958904109589041,0.0,0.0,0.0025031289111389237,0.0009617696561673479,0.0,0.0003505082369435682,0.0005428881650380022,0.0002360160490913382,0.0007405578869414959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001184834123222749,0.0,0.0004017677782241864,0.0,0.0,0.00042909246942716153,0.0,0.0009149130832570906,0.0,0.0,0.0,0.0020833333333333333,0.0,0.024390243902439025,0.0,0.0,0.0008396305625524769,0.0008250825082508251,0.0,0.00020759809009757111,0.0,0.0,0.004484304932735426,0.0,0.0036319612590799033,0.0,0.0,0.006949270326615705,0.0,0.0,0.0,0.016,0.0002358490566037736,0.0,0.0015151515151515152,0.0,0.004985754985754986,0.0,0.0,0.0,0.0,0.0006596306068601583,0.0005224660397074191,0.019455252918287938,0.0,0.0009302325581395349,0.08707865168539326,0.0,0.0,0.0013186813186813187,0.0,0.002150537634408602,0.0,0.017994858611825194,0.0013531799729364006,0.0007882291119285339,0.0,0.0003278688524590164,0.0,0.001,0.026634382566585957,0.0001193744777366599,0.00036483035388544326,0.0,0.0,0.0,0.0,0.01001001001001001,0.0,0.0,0.020905923344947737
Šeškės,0.004909983633387889,0.0007850320554755986,0.003914590747330961,0.014084507042253521,0.0273972602739726,0.002066115702479339,0.0,0.01680672268907563,0.010958904109589041,1.0,0.0,0.007403189066059226,0.0010471204188481676,0.005355064027939465,0.0,0.0013311148086522463,0.000500751126690035,0.005033173186913749,0.005353449324735369,0.005134788189987163,0.0,0.0,0.0,0.005353955978584176,0.0019102196752626551,0.003389830508474576,0.0021727322107550242,0.0025201612903225806,0.0022735884804850324,0.0,0.002277904328018223,0.0031742672733044122,0.0,0.009700889248181084,0.0,0.002242152466367713,0.0,0.009523809523809525,0.0,0.020454545454545454,0.007375537799631223,0.0023408239700374533,0.0029784065524944155,0.004280155642023347,0.0,0.0024188671638782503,0.002902757619738752,0.001292824822236587,0.005305039787798408,0.0,0.015479876160990712,0.0010578279266572638,0.0,0.017766497461928935,0.0061633281972265025,0.0,0.004120879120879121,0.019011406844106463,0.004340872743888508,0.0,0.0049261083743842365,0.006756756756756757,0.023529411764705882,0.0025933609958506223,0.0,0.002857142857142857,0.000722543352601156,0.002398081534772182,0.002378525314305131,0.0256797583081571,0.00392156862745098,0.002899075919550643,0.013084112149532711,0.0,0.005319148936170213,0.008288437629506838,0.0028169014084507044,0.0032310177705977385,0.0,0.016605166051660517,0.0056179775280898875,0.00101010101010101,0.0,0.0006242197253433209,0.005952380952380952,0.003472222222222222,0.024778761061946902,0.00023443910444262102,0.0012428977272727273,0.003963759909399773,0.0,0.0047230571060541005,0.003401360544217687,0.029177718832891247,0.005005005005005005,0.005194805194805195,0.013574660633484163
